,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
PM10,-0.13628545434097716,0.041578748611664613,-0.21612128451350118,-0.08269586149487536,0.23417800687220466,-0.42358594561227003,0.15836983512347935,-0.2224917914061275,-0.6634216085071131,0.2887211664035835,-0.23651476748787198,0.07603660031761499,0.24890408196940697,-0.3176379596749259,-0.07336190435545412,0.2763607559601998
temp,-0.22552694284610403,0.1572319592961672,-0.23455885289631315,-0.06120353599925045,0.9040169722584068,-0.2458495463302596,0.6519881159074796,-0.09726648190555211,-0.7954814642636245,-0.31860945219703213,-0.7681834359383423,-0.4646757029558164,0.5402003157236506,-0.24179578020124623,-0.09400267166408106,0.39579930643950556
humidity,0.7491866996585483,-0.019946527520780896,-0.11159051000543493,-0.5228520925904935,-0.2109615147107308,-0.6038516645946969,-0.555094622617172,-0.026547436644913602,0.28269589185222704,0.8929469060438662,0.682357101190702,0.27948597380827384,-0.1813860778496826,-0.4615142345084717,0.22701366642471135,-0.383824420103839
rain,0.3741738653851003,-0.3727139503865811,0.2977522315546719,-0.5895130606706978,0.0799183471637648,-0.11817636134059657,0.14250615463253027,0.44741279241788895,-0.0006906513967041093,0.29483297154817323,0.09106883417954147,0.33684815130244866,-0.3189543668240072,-0.19402826284062927,0.4713016236152981,-0.47179263987645276
wind,-0.3646643149120339,-0.7396659806318875,0.8369508237974727,-0.027618135452747553,-0.3766588238451846,0.8145673806898279,0.5347338963009748,0.7212120041215102,-0.034675032124120216,-0.4645293543304303,-0.35474700928309866,0.6204879227034642,-0.6873416209837652,0.8489466715599414,0.5412102791016454,-0.4366851419993196
