PM10_forecast,temp_forecast,humidity_forecast,rain_forecast,wind_forecast,hour,PM10_lower,PM10_upper,temp_lower,temp_upper,humidity_lower,humidity_upper,rain_lower,rain_upper,wind_lower,wind_upper
11.915866,16.265709,56.49519,-0.0025844127,9.573412,32,4.4331665,22.294456,9.6409,22.268118,41.964478,69.95763,-0.008887649,0.0037836581,3.6595492,18.40849
11.195507,15.16485,56.062157,-0.0006580651,10.050206,33,3.6233063,20.256618,9.52032,22.211142,40.18788,69.77516,-0.009711534,0.0042361766,3.7801566,18.119677
10.374953,16.293432,56.137154,-0.003437966,9.503671,34,3.9790058,18.78075,11.334957,22.968298,43.945488,68.74395,-0.0077884197,0.0039522946,3.8267837,17.257318
10.13316,15.09982,56.284466,0.000570029,9.455177,35,3.800932,19.914398,8.749898,20.640806,45.27334,67.60648,-0.008844554,0.0017691553,3.929555,19.07188
10.507071,16.33139,56.32415,-0.002283752,9.089143,36,3.6032324,22.239258,8.582503,22.973722,43.111656,68.23801,-0.009514034,0.0054629743,4.0782804,17.14829
10.746129,15.797439,56.606846,-0.00049059093,8.982473,37,3.1477509,20.320229,8.08476,23.448475,45.159687,68.753456,-0.0080102235,0.0037733316,3.5657673,15.97888
11.550039,17.187923,56.848907,-0.0034620017,8.890412,38,3.3474083,23.059673,9.931456,23.583637,45.135826,68.04472,-0.008410335,0.0014419705,4.0784726,17.626144
11.354612,16.180796,57.14451,-0.0040097833,9.021554,39,3.6039963,20.7221,10.170465,23.477125,44.726967,70.19818,-0.010062233,0.0029418468,4.0565734,15.360929
10.946299,16.150625,56.61818,-0.0028519183,9.335577,40,2.0907564,21.401003,7.7436943,23.494764,43.960037,69.5062,-0.008315742,0.004648328,3.9588332,17.045485
11.636282,17.160656,57.32877,0.014127597,9.291211,41,3.5421143,23.44273,10.170203,25.012535,43.90181,69.67557,-0.008120567,0.0028284192,3.7571225,16.822626
11.31194,16.893705,58.027172,0.0030806214,8.7890005,42,3.5499134,21.305275,11.464542,22.593294,44.594387,72.301834,-0.009646252,0.003132984,3.9639764,15.013873
11.756127,15.546857,58.397007,-0.0093612075,8.651821,43,3.2972994,21.62826,8.518518,22.133404,43.567978,69.90674,-0.008947879,0.00360094,3.6213446,16.766348
12.433781,16.103485,58.38558,0.009763047,8.181474,44,3.780117,21.808277,8.2761135,23.064953,45.6137,71.20431,-0.009381503,0.0047080964,3.3866472,13.734518
12.022179,16.96978,58.3037,0.08698648,7.9103603,45,3.5463266,22.411732,9.946312,24.677376,45.297943,72.026276,-0.007983208,0.003432557,3.740641,12.713254
11.602694,16.345343,58.157894,0.018379822,8.10565,46,3.9828167,22.537773,9.046893,23.453724,43.52562,71.69478,-0.008678153,0.005197346,3.2774725,15.077245
12.1319,16.782627,58.554474,-0.019215956,8.128738,47,3.9218836,24.355402,10.461595,23.030727,44.838192,70.11616,-0.010608211,0.0039377064,3.2674794,13.799665
12.289626,16.21695,58.231873,0.022599354,8.325676,48,3.287941,21.7784,9.565945,22.433903,42.62484,72.07799,-0.00876227,0.0024684817,3.6153708,13.928671
